x=1,50, Analytical f(x)=0,1051, Analytical f'(x)=-0,3079, Tabular f(x)=0,8754, Tabular f'(x)=0,0678
x=1,55, Analytical f(x)=0,0905, Analytical f'(x)=-0,2786, Tabular f(x)=0,8788, Tabular f'(x)=0,0678
x=1,60, Analytical f(x)=0,0773, Analytical f'(x)=-0,2495, Tabular f(x)=0,8822, Tabular f'(x)=0,0678
x=1,65, Analytical f(x)=0,0655, Analytical f'(x)=-0,2214, Tabular f(x)=0,8856, Tabular f'(x)=0,0678
x=1,70, Analytical f(x)=0,0551, Analytical f'(x)=-0,1945, Tabular f(x)=0,8890, Tabular f'(x)=0,0678
x=1,75, Analytical f(x)=0,0460, Analytical f'(x)=-0,1694, Tabular f(x)=0,8924, Tabular f'(x)=0,0678
x=1,80, Analytical f(x)=0,0381, Analytical f'(x)=-0,1462, Tabular f(x)=0,8957, Tabular f'(x)=0,0678
x=1,85, Analytical f(x)=0,0314, Analytical f'(x)=-0,1251, Tabular f(x)=0,8991, Tabular f'(x)=0,0678
x=1,90, Analytical f(x)=0,0256, Analytical f'(x)=-0,1060, Tabular f(x)=0,9025, Tabular f'(x)=0,0678
x=1,95, Analytical f(x)=0,0207, Analytical f'(x)=-0,0891, Tabular f(x)=0,9059, Tabular f'(x)=0,0678
x=2,00, Analytical f(x)=0,0167, Analytical f'(x)=-0,0742, Tabular f(x)=0,9093, Tabular f'(x)=-0,7682
x=2,05, Analytical f(x)=0,0133, Analytical f'(x)=-0,0613, Tabular f(x)=0,8709, Tabular f'(x)=-0,7682
x=2,10, Analytical f(x)=0,0105, Analytical f'(x)=-0,0502, Tabular f(x)=0,8325, Tabular f'(x)=-0,7682
x=2,15, Analytical f(x)=0,0082, Analytical f'(x)=-0,0407, Tabular f(x)=0,7941, Tabular f'(x)=-0,7682
x=2,20, Analytical f(x)=0,0064, Analytical f'(x)=-0,0328, Tabular f(x)=0,7557, Tabular f'(x)=-0,7682
x=2,25, Analytical f(x)=0,0049, Analytical f'(x)=-0,0261, Tabular f(x)=0,7173, Tabular f'(x)=-0,7682
x=2,30, Analytical f(x)=0,0038, Analytical f'(x)=-0,0207, Tabular f(x)=0,6788, Tabular f'(x)=-0,7682
x=2,35, Analytical f(x)=0,0028, Analytical f'(x)=-0,0162, Tabular f(x)=0,6404, Tabular f'(x)=-0,7682
x=2,40, Analytical f(x)=0,0021, Analytical f'(x)=-0,0125, Tabular f(x)=0,6020, Tabular f'(x)=-0,7682
x=2,45, Analytical f(x)=0,0016, Analytical f'(x)=-0,0096, Tabular f(x)=0,5636, Tabular f'(x)=-0,7682
x=2,50, Analytical f(x)=0,0012, Analytical f'(x)=-0,0073, Tabular f(x)=0,5252, Tabular f'(x)=-0,7682
x=2,55, Analytical f(x)=0,0008, Analytical f'(x)=-0,0055, Tabular f(x)=0,4868, Tabular f'(x)=-0,7682
x=2,60, Analytical f(x)=0,0006, Analytical f'(x)=-0,0041, Tabular f(x)=0,4484, Tabular f'(x)=-0,7682
x=2,65, Analytical f(x)=0,0004, Analytical f'(x)=-0,0030, Tabular f(x)=0,4100, Tabular f'(x)=-0,7682
x=2,70, Analytical f(x)=0,0003, Analytical f'(x)=-0,0022, Tabular f(x)=0,3716, Tabular f'(x)=-0,7682
x=2,75, Analytical f(x)=0,0002, Analytical f'(x)=-0,0016, Tabular f(x)=0,3332, Tabular f'(x)=-0,7682
x=2,80, Analytical f(x)=0,0001, Analytical f'(x)=-0,0011, Tabular f(x)=0,2947, Tabular f'(x)=-0,7682
x=2,85, Analytical f(x)=0,0001, Analytical f'(x)=-0,0008, Tabular f(x)=0,2563, Tabular f'(x)=-0,7682
x=2,90, Analytical f(x)=0,0001, Analytical f'(x)=-0,0005, Tabular f(x)=0,2179, Tabular f'(x)=-0,7682
x=2,95, Analytical f(x)=0,0000, Analytical f'(x)=-0,0003, Tabular f(x)=0,1795, Tabular f'(x)=-0,7682
x=3,00, Analytical f(x)=0,0000, Analytical f'(x)=-0,0002, Tabular f(x)=0,1411, Tabular f'(x)=-0,8979
x=3,05, Analytical f(x)=0,0000, Analytical f'(x)=-0,0001, Tabular f(x)=0,0962, Tabular f'(x)=-0,8979
x=3,10, Analytical f(x)=0,0000, Analytical f'(x)=-0,0001, Tabular f(x)=0,0513, Tabular f'(x)=-0,8979
x=3,15, Analytical f(x)=-0,0000, Analytical f'(x)=-0,0000, Tabular f(x)=0,0064, Tabular f'(x)=-0,8979
x=3,20, Analytical f(x)=-0,0000, Analytical f'(x)=-0,0000, Tabular f(x)=-0,0385, Tabular f'(x)=-0,8979
x=3,25, Analytical f(x)=-0,0000, Analytical f'(x)=-0,0000, Tabular f(x)=-0,0834, Tabular f'(x)=-0,8979
x=3,30, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,1283, Tabular f'(x)=-0,8979
x=3,35, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,1732, Tabular f'(x)=-0,8979
x=3,40, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,2181, Tabular f'(x)=-0,8979
x=3,45, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,2630, Tabular f'(x)=-0,8979
x=3,50, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,3078, Tabular f'(x)=-0,8979
x=3,55, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,3527, Tabular f'(x)=-0,8979
x=3,60, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,3976, Tabular f'(x)=-0,8979
x=3,65, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,4425, Tabular f'(x)=-0,8979
x=3,70, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,4874, Tabular f'(x)=-0,8979
x=3,75, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,5323, Tabular f'(x)=-0,8979
x=3,80, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,5772, Tabular f'(x)=-0,8979
x=3,85, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,6221, Tabular f'(x)=-0,8979
x=3,90, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,6670, Tabular f'(x)=-0,8979
x=3,95, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7119, Tabular f'(x)=-0,8979
x=4,00, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7568, Tabular f'(x)=-0,2021
x=4,05, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7669, Tabular f'(x)=-0,2021
x=4,10, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7770, Tabular f'(x)=-0,2021
x=4,15, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7871, Tabular f'(x)=-0,2021
x=4,20, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7972, Tabular f'(x)=-0,2021
x=4,25, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8073, Tabular f'(x)=-0,2021
x=4,30, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8174, Tabular f'(x)=-0,2021
x=4,35, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8275, Tabular f'(x)=-0,2021
x=4,40, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8376, Tabular f'(x)=-0,2021
x=4,45, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8477, Tabular f'(x)=-0,2021
x=4,50, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8578, Tabular f'(x)=-0,2021
x=4,55, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8680, Tabular f'(x)=-0,2021
x=4,60, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8781, Tabular f'(x)=-0,2021
x=4,65, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8882, Tabular f'(x)=-0,2021
x=4,70, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8983, Tabular f'(x)=-0,2021
x=4,75, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9084, Tabular f'(x)=-0,2021
x=4,80, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9185, Tabular f'(x)=-0,2021
x=4,85, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9286, Tabular f'(x)=-0,2021
x=4,90, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9387, Tabular f'(x)=-0,2021
x=4,95, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9488, Tabular f'(x)=-0,2021
x=5,00, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9589, Tabular f'(x)=NaN
x=5,05, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
